Amount,Frequency,Recency
0.0,2,325
4309.999999999997,182,1
1797.24,31,74
1757.55,73,18
334.40000000000003,17,309
1545.4100000000005,95,35
89.0,4,203
1079.4,58,231
459.4,13,213
2811.4300000000007,59,22
6207.669999999996,131,32
1168.06,19,1
6245.530000000006,254,7
2662.0600000000004,129,51
189.89999999999998,10,286
5154.580000000002,274,2
552.0,23,109
1313.1000000000001,85,7
320.69,23,290
168.9,11,3
3545.689999999998,167,50
1887.9600000000003,63,44
1298.0400000000002,52,71
364.6,14,310
742.93,33,24
455.42000000000013,18,2
1628.1199999999997,77,314
4008.6200000000013,219,129
850.2899999999996,41,81
2720.56,105,21
1803.9600000000005,91,4
1839.3099999999997,100,184
566.16,30,28
401.90000000000003,10,337
2780.6600000000003,100,15
549.8399999999999,32,79
460.88999999999993,100,21
1582.6000000000004,64,71
1272.48,27,63
2998.279999999999,159,15
2409.9000000000005,126,35
1635.6599999999999,85,45
1108.65,59,118
84.3,5,302
225.6,11,322
409.7,6,49
1710.3900000000006,54,148
3280.7500000000014,108,21
1708.1199999999997,77,49
2842.57,113,32
11056.930000000004,114,78
681.0799999999999,28,300
1226.8799999999999,61,74
694.15,40,66
562.41,18,216
123725.44999999987,778,23
3578.8,198,2
668.5799999999997,34,112
600.3900000000001,29,63
806.2700000000002,46,15
803.5599999999998,39,95
1849.1100000000001,126,0
1760.9599999999998,30,162
777.1999999999999,36,77
582.7299999999999,30,194
708.3700000000001,35,11
7877.200000000004,300,25
3750.400000000001,97,8
256.4,11,42
6416.389999999999,240,35
5059.3200000000015,108,42
13375.869999999992,420,0
765.1899999999999,54,84
7829.889999999998,36,79
509.01000000000005,16,99
4896.659999999998,201,1
2906.8500000000004,98,13
173.55,11,366
172.06,12,2
5005.46,177,20
133.4,4,21
1002.3099999999998,58,57
476.49,26,242
449.4500000000001,22,43
4067.2900000000013,191,21
197.88,8,155
8933.519999999999,355,10
428.57000000000005,23,16
707.0899999999999,43,133
-5.684341886080802e-14,30,52
2466.859999999997,90,72
3153.889999999998,129,43
1917.78,68,57
947.4000000000001,38,70
826.8800000000001,35,93
1124.0099999999998,72,1
1303.6299999999997,88,45
1212.0499999999997,29,9
733.8900000000001,51,7
724.04,40,142
18740.91999999994,531,1
6229.480000000004,391,30
2848.2299999999996,179,28
7116.47,457,16
723.38,36,53
6546.580000000007,264,0
13117.009999999993,308,22
680.9900000000002,36,3
477.30000000000007,35,3
3281.6300000000015,154,27
5590.8600000000015,218,22
2327.130000000001,81,16
4495.27,350,32
1298.6599999999999,55,9
334.92999999999995,15,335
5417.9299999999985,245,4
460.4000000000001,26,38
263.21,20,62
416.79,23,165
1139.3500000000008,84,9
1043.1,14,81
403.7,23,20
4206.2699999999995,65,22
2089.68,160,314
3723.87,147,95
-1126.0,1,337
114.00000000000003,15,17
-4.5,1,300
73.50000000000003,23,232
1258.06,23,133
398.27000000000004,69,25
176.5,7,283
982.57,33,142
138.03000000000006,34,65
586.7900000000001,36,84
1017.6800000000002,51,266
383.7,16,352
1312.06,26,77
2464.8899999999994,286,27
2056.8899999999994,124,0
340.84,18,63
2582.5099999999998,155,78
599.6800000000001,38,142
192.72000000000003,12,38
1745.5700000000006,110,1
4485.719999999999,144,8
1316.6600000000005,71,0
348.71000000000004,18,81
1922.2800000000009,95,8
1623.6299999999994,68,59
125.22,17,14
349.83,16,29
1089.18,63,130
716.3500000000001,34,91
4106.820000000003,273,7
363.95,21,28
3852.4999999999986,274,21
13309.039999999992,481,19
981.1800000000002,52,29
355.7,20,29
1000.3899999999999,50,74
1141.5,70,46
207.8,8,197
95.19999999999999,5,165
964.8299999999994,57,78
168.0,10,357
437.81999999999994,20,38
3652.2500000000014,196,7
603.7099999999997,121,49
11990.96,33,15
2.6645352591003757e-14,22,1
536.2099999999999,22,310
2101.3900000000003,111,4
238.85,16,302
3781.7400000000025,168,7
456.9000000000001,21,260
131.17,10,281
346.70000000000005,20,72
9114.939999999993,463,22
4064.989999999999,191,1
519.6099999999999,34,39
1004.7200000000003,62,8
160.54,28,226
218.45000000000002,11,315
1306.9799999999998,89,35
595.4000000000003,148,34
2753.3599999999988,120,20
410.71999999999997,31,72
415.7,24,246
197.70999999999998,15,39
511.3599999999999,22,238
7187.339999999993,251,2
1893.9500000000005,126,3
1982.809999999999,97,233
179.94,12,16
144.0,4,7
214.9,10,38
646.6800000000001,35,28
9861.380000000003,70,189
